baslik,url,ozet,yazar,ulke,yayim_yili,sayfa_sayisi,tur,konu,isbn,yayimci,medya_turu
Barbarın Kahkahası,https://tr.wikipedia.org/wiki/Barbarın_Kahkahası,"Barbarın Kahkahası, Sema Kaygusuz'un 2015 tarihli romanıdır.",Sema Kaygusuz,Türkiye,Mayıs 2015,496 sayfa,Roman,,9789753429993,Metis Yayınları,
Başın Öne Eğilmesin,https://tr.wikipedia.org/wiki/Başın_Öne_Eğilmesin,"Başın Öne Eğilmesin, Hıfzı Topuz'un 2006 yılında çıkardığı ve 2007 yılında 36.Orhan Kemal Roman Armağanı ödülünü kazandığı kitabıdır. Sabahattin Ali'nin hayat öyküsünü ve öldürülüşünü konu edinir. Orhan Kemal Roman Armağanı Seçici Kurulu, 44 eser arasından bu eseri oy birliğiyle seçmesini şu sözlerle açıklamıştır: ""Seçici kurul bu kararında, Hıfzı Topuz'un çağdaş Türk edebiyatının unutulmaz değerl",Hıfzı Topuz,Türkiye,Eylül 2006,264,Roman,Yazar Sabahattin Ali'nin yaşamı,975-14-1150-5,Remzi Kitabevi,
Biz İnsanlar,https://tr.wikipedia.org/wiki/Biz_İnsanlar,"Biz İnsanlar, Peyami Safa'nın 1959 tarihili romanı. İlk olarak 1937 yılında Cumhuriyet'de tefrika edilmeye başlanmışsa da kitap olarak basımı ancak 1959 yılında gerçekleşmiştir. Kitap olarak basımı geç bir tarihte olduğu için yazarın son romanı olarak kabul edilmektedir.[1]",Peyami Safa,Türkiye,1937 (tefrika)1959 (ilk basım),426,Roman,,9754370257,İnkılap Kitabevi,
Cemo,https://tr.wikipedia.org/wiki/Cemo_(roman),"Cemo Kemal Bilbaşar'ın Doğu Anadolu Bölgesi'ndeki ağa, maraba, şeyh, köylü ilişkisini anlattığı 1966 tarihli romanıdır. Kitap küçük yaşta annesini kaybeden güzel kız Cemo'nun yaşadıklarını anlatmaktadır. Kitap 1967'de Türk Dil Kurumu Roman Ödülü'nü kazanmıştır.",Kemal Bilbaşar,Türkiye,1966,216,Roman,Doğu Anadolu bölgesindeki sosyal sınıflar,9789750702686,Tekin YayınlarıCan Yayınları,Baskı
Çanakkale Mahşeri,https://tr.wikipedia.org/wiki/Çanakkale_Mahşeri,"Çanakkale Mahşeri, Mehmet Niyazi Özdemir tarafından 1998 yılında yazılan ve Türkiye Yazarlar Birliği Ödülü alan[1] kitap olup Çanakkale Savaşı'nı anlatmaktadır.",Mehmet Niyazi Özdemir,Türkiye,1998,488,Savaş romanı,Çanakkale Savaşı,978-9754-372762,Ötüken Neşriyat,
Deli Kurt,https://tr.wikipedia.org/wiki/Deli_Kurt,"Deli Kurt, Hüseyin Nihâl Atsız tarafından 1958 yılında yazılmış roman türü kitap.[1]",Hüseyin Nihal Atsız,Türkiye,1958 (özgün)1958 (Türkçe),246,Roman,Osmanlı İmparatorluğu'nda geçer.,9789754378016,Ötüken Neşriyat,
Deliduman,https://tr.wikipedia.org/wiki/Deliduman,"Deliduman, 2014 yılında yayımlanan Emrah Serbes romanıdır.",Emrah Serbes,Türkiye,Haziran 2014,350,Roman,,9789750515606,İletişim Yayınları,Basılı kitap
Dünya Döner Renkler Kalır,https://tr.wikipedia.org/wiki/Dünya_Döner_Renkler_Kalır,"Dünya Döner Renkler Kalır, Belgin Bıyıkoğlu'nun 2021 tarihli romanı.",Belgin Bıyıkoğlu,Türkiye,Ekim 2021,496 sayfa,Roman,,9786254414190,Destek Yayınları,
Dünyanın En Pis Sokağı,https://tr.wikipedia.org/wiki/Dünyanın_En_Pis_Sokağı,"Dünyanın En Pis Sokağı, Tarık Buğra tarafından kaleme alınan, 1989 yılında basılan romandır.",Tarık Buğra,Türkiye,"1989, İstanbul",148,Roman,,,Ötüken Yayınları,
Düşler ve Gerçekler,https://tr.wikipedia.org/wiki/Düşler_ve_Gerçekler,"Düşler ve Gerçekler, Celal Pamukçu tarafından yazılan ve 2000 yılında Cumhuriyet Gazetesi tarafından verilen 54. Yunus Nadi Roman Ödülü 'nü kazanmış bir romandır. Evden kaçan iki genç kızın öyküsü üzerine kurgulanmış olup romanda geleneksel ahlak değerleri sorgulanmaktadır. Dil bakımından sade bir dille yazılmıştır; karakterler de gerçek hayattan seçilmiştir.",Celal Pamukçu,Türkiye,2007,349,Roman,,9789944092500,Boyut Yayın Grubu,
