baslik,aciklama,kaynak
İstanbul,Türkiye'nin ve Avrupa'nın en kalabalık şehri,API Interception
İstanbul Üniversitesi,,API Interception
İstanbul'un Fethi,Osmanlı'nın Bizans başkentini alması (1453),API Interception
İstanbul Havalimanı,İstanbul'da bulunan uluslararası bir havalimanı,API Interception
İstanbul Başakşehir FK,Türk futbol kulübü,API Interception
İstanbul Teknik Üniversitesi,İstanbul'da kurulu devlet üniversitesi,API Interception
İstanbul Büyükşehir Belediyesi,İstanbul'daki belediye işlerinden sorumlu kamu kurumu,API Interception
İstanbul Metrosu,"İstanbul, Türkiye'de hizmet veren metro ağı",API Interception
İstanbul Boğazı,Karadeniz ile Marmara Denizi arasındaki boğaz,API Interception
İstanbul'un ilçeleri,Vikimedya liste maddesi,API Interception
İstanbul,Türkiye'nin ve Avrupa'nın en kalabalık şehri,API Interception
İstanbul Üniversitesi,,API Interception
İstanbul'un Fethi,Osmanlı'nın Bizans başkentini alması (1453),API Interception
İstanbul Havalimanı,İstanbul'da bulunan uluslararası bir havalimanı,API Interception
İstanbul Başakşehir FK,Türk futbol kulübü,API Interception
İstanbul Teknik Üniversitesi,İstanbul'da kurulu devlet üniversitesi,API Interception
İstanbul Büyükşehir Belediyesi,İstanbul'daki belediye işlerinden sorumlu kamu kurumu,API Interception
İstanbul Metrosu,"İstanbul, Türkiye'de hizmet veren metro ağı",API Interception
İstanbul Boğazı,Karadeniz ile Marmara Denizi arasındaki boğaz,API Interception
İstanbul'un ilçeleri,Vikimedya liste maddesi,API Interception
Mustafa Kemal Atatürk,Türkiye Cumhuriyeti'nin kurucusu ve ilk cumhurbaşkanı,API Interception
Atatürk Havalimanı,Türkiye'nin İstanbul ilindeki uluslararası bir havalimanı,API Interception
Atatürk Olimpiyat Stadyumu,İstanbul'da bir stadyum,API Interception
Atatürk Havalimanı saldırısı,28 Haziran 2016'da IŞİD tarafından gerçekleştirilen terör saldırısı,API Interception
Atatürk İlkeleri,Atatürk'ün politikalarını belirleyen altı ilke,API Interception
Atatürk Devrimleri,Türk ulus devletini yaratan köklü reformlar,API Interception
Atatürk Üniversitesi,Erzurum'da kurulu devlet üniversitesi,API Interception
Atatürk Kanalı,"Albany, Batı Avustralya'daki su kanalı",API Interception
Atatürk 1881-1919,2023 yapımı tarihî Türk filmi,API Interception
Atatürk Orman Çiftliği,Ankara'da bir çiftlik,API Interception
T,Latin alfabesinin 20. harfi,API Interception
Türkiye,Batı Asya ve Güneydoğu Avrupa'da bir ülke,API Interception
Türkçe,Türk halkının Oğuz Türkçesi dili,API Interception
Türkiye'nin illeri,Türkiye Cumhuriyeti'nin birinci düzey idari bölümü,API Interception
Türkiye'nin ilçeleri,Türkiye'nin ikinci seviye idari bölümü,API Interception
Türkler,Türkî etnik grup,API Interception
Türk Kurtuluş Savaşı,"I. Dünya Savaşı'ndan sonra, Ankara merkezli direniş hareketi ile İtilaf Devletleri arasında yaşanan bir savaş ve direnişçiler ile yerli karşıtları arasında yaşanan bir iç savaş",API Interception
Türkiye Büyük Millet Meclisi,Türkiye Cumhuriyeti'nin parlamentosu,API Interception
Türkiye Ulusal Numaralandırma Planı,Türkiye'deki telefon numaralandırma sistemi ve belirli hizmetlere tahsis edilmiş numara ve kodlar,API Interception
Türk Silahlı Kuvvetleri,Türkiye Cumhuriyeti'nin askerî gücü,API Interception
Türk edebiyatı,Türkçe yazılmış edebî eserler,API Interception
Türk edebiyatında hikâye,,API Interception
Türk edebiyatında şiir,Türk edebiyatındaki şiir türündeki eserler,API Interception
Türk edebiyatında roman,,API Interception
Türk edebiyatında LGBT temaları,,API Interception
Türk edebiyatında destan,Türkler tarafından yazılan destan,API Interception
Türk edebiyatında masal,,API Interception
Türk edebiyatında Kurtuluş Savaşı konulu romanlar,,API Interception
Türk Edebiyatı İsimler Sözlüğü,edebiyat içerikli sözlük,API Interception
Türk Edebiyatı (dergi),,API Interception
Türk edebiyatı,Türkçe yazılmış edebî eserler,API Interception
Türk edebiyatında hikâye,,API Interception
Türk edebiyatında şiir,Türk edebiyatındaki şiir türündeki eserler,API Interception
Türk edebiyatında roman,,API Interception
Türk edebiyatında LGBT temaları,,API Interception
Türk edebiyatında destan,Türkler tarafından yazılan destan,API Interception
Türk edebiyatında masal,,API Interception
Türk edebiyatında Kurtuluş Savaşı konulu romanlar,,API Interception
Türk Edebiyatı İsimler Sözlüğü,edebiyat içerikli sözlük,API Interception
Türk Edebiyatı (dergi),,API Interception
K,Latin alfabesinin 11. harfi,API Interception
Kurtlar Vadisi Pusu karakterleri listesi,Kurtlar Vadisi Pusu'da yer alan karakterlerin tam listesi,API Interception
Kazakistan,Doğu Avrupa ve Kuzey Asya ülkesi,API Interception
Kolombiya,Güney Amerika'da bir ülke,API Interception
Kylian Mbappé,Fransız futbolcu,API Interception
Kanada,Kuzey Amerika'da bir ülke,API Interception
Konya,Konya ilinin merkezi olan şehir,API Interception
Kıbrıs Cumhuriyeti,Akdeniz'de bir ada ülkesi,API Interception
Kurtlar Vadisi karakterleri listesi,Kurtlar Vadisi dizisinde yer alan karakterlerin tam listesi,API Interception
Kürdistan Bölgesel Yönetimi,Irak'a bağlı özerk bir bölge,API Interception
Kapadokya,Türkiye'de bulunan turistik bir bölge,API Interception
Kapadokya Üniversitesi,Nevşehir'de kurulu devlet üniversitesi,API Interception
Kapadokya'da çekilen filmler listesi,Vikimedya liste maddesi,API Interception
Kapadokya Rumcası,,API Interception
Kapadokya (eyalet),"Anadolu'da bir Roma İmparatorluğu eyaleti, başkenti Caesarea (Kayseri)",API Interception
Kapadokya Kilisesi,,API Interception
Kapadokya Krallığı,Kapadokya,API Interception
Kapadokyalı Arhelaos,Kapadokya'nın son kralı,API Interception
Kapadokya'daki yeraltı şehirleri,,API Interception
Kapadokya takvimi,antik güneş takvimi,API Interception
O,Latin alfabesinin 15. harfi,API Interception
Osmanlı İmparatorluğu,çok uluslu monarşi (1299–1922),API Interception
Otorite kontrolü,bibliyografik bilgiler için kullanılan benzersiz başlıklar,API Interception
Orta saha,futbol pozisyonu,API Interception
Olimpiyat Oyunları,farklı spor dallarının bir araya gelerek oluşturduğu yarışmalar,API Interception
Osmanlı padişahları listesi,Osmanlı İmparatorluğu'nun hükümdarları listesi,API Interception
Osman Gazi,Osmanlı Beyliği'nin kurucusu ve ilk padişahı (1299–1326),API Interception
Orhan Gazi,2. Osmanlı padişahı (1326–1362),API Interception
Orta Doğu Teknik Üniversitesi,Ankara'da kurulu devlet üniversitesi,API Interception
Okan Buruk,Türk teknik direktör ve eski millî futbolcu,API Interception
Orhan Pamuk,Nobel ödüllü Türk roman yazarı,API Interception
Orhan Pamuk'un diğer dillerde yayımlanmış eserleri,,API Interception
Osman Pamukoğlu,"Türk asker, yazar ve siyasetçi",API Interception
