yazar,url,alinti_sayisi,dogum_tarihi,dogum_yeri,olum_tarihi,olum_yeri
Abdi İpekçi,https://tr.wikiquote.org/wiki/Abdi_İpekçi,27,9 Ağustos 1929,İstanbul,1 Şubat 1979,İstanbul
Abdulaziz Bayındır,https://tr.wikiquote.org/wiki/Abdulaziz_Bayındır,14,11 Aralık 1951,Tortum,,
Abdullah Rıza Ergüven,https://tr.wikiquote.org/wiki/Abdullah_Rıza_Ergüven,29,1925,Avanos,16 Ağustos 2001,İsveç
Abdülhak Hamit Tarhan,https://tr.wikiquote.org/wiki/Abdülhak_Hamit_Tarhan,21,2 Ocak 1852,İstanbul,13 Nisan 1937,İstanbul
Ahmed Hulusi,https://tr.wikiquote.org/wiki/Ahmed_Hulusi,13,21 Ocak 1945,"İstanbul, Türkiye",Yaşıyor,
Ahmet Altan,https://tr.wikiquote.org/wiki/Ahmet_Altan,12,2 Mart 1950,Ankara,,
Ahmet Arslan,https://tr.wikiquote.org/wiki/Ahmet_Arslan,31,1944,,,
Ahmet Erhan,https://tr.wikiquote.org/wiki/Ahmet_Erhan,20,8 Şubat 1958,Ankara,4 Ağustos 2013,"Beyoğlu, İstanbul"
Ahmet Hakan Coşkun,https://tr.wikiquote.org/wiki/Ahmet_Hakan_Coşkun,3,11 Ağustos 1967,Sorgun,,
Ahmet Haşim,https://tr.wikiquote.org/wiki/Ahmet_Haşim,11,"1887, 1884",Bağdat,4 Haziran 1933,İstanbul
Ahmet İnam,https://tr.wikiquote.org/wiki/Ahmet_İnam,1,,,,
Ahmet İnsel,https://tr.wikiquote.org/wiki/Ahmet_İnsel,2,13 Mart 1955,İstanbul,,
Ahmet Kavas,https://tr.wikiquote.org/wiki/Ahmet_Kavas,2,1964,Samsun,,
Ahmet Mahmut Ünlü,https://tr.wikiquote.org/wiki/Ahmet_Mahmut_Ünlü,44,27 Şubat 1965,"Fatih, İstanbul",,
Ahmet Mithat,https://tr.wikiquote.org/wiki/Ahmet_Mithat,3,1844,"İstanbul, Osmanlı İmparatorluğu",28 Aralık 1912,"İstanbul, Osmanlı İmparatorluğu"
Ahmet Muhip Dıranas,https://tr.wikiquote.org/wiki/Ahmet_Muhip_Dıranas,4,1909,Sinop,"27 Haziran 1980, 21 Haziran 1980",Ankara
Ahmet Murat Özel,https://tr.wikiquote.org/wiki/Ahmet_Murat_Özel,1,30 Haziran 1971,,,
Ahmet Şerif İzgören,https://tr.wikiquote.org/wiki/Ahmet_Şerif_İzgören,10,1965,İzmir,,
Ahmet Şimşirgil,https://tr.wikiquote.org/wiki/Ahmet_Şimşirgil,5,25 Mayıs 1959,Boyabat,,
Ahmet Taner Kışlalı,https://tr.wikiquote.org/wiki/Ahmet_Taner_Kışlalı,63,10 Temmuz 1939,"Zile, Tokat, Türkiye",21 Ekim 1999,"Ankara, Türkiye"
