sorgu,baslik,aciklama,yontem
İstanbul,İstanbul,Türkiye'nin ve Avrupa'nın en kalabalık şehri,API
İstanbul,İstanbul Üniversitesi,,API
İstanbul,İstanbul'un Fethi,Osmanlı'nın Bizans başkentini alması (1453),API
İstanbul,İstanbul Havalimanı,İstanbul'da bulunan uluslararası bir havalimanı,API
İstanbul,İstanbul Başakşehir FK,Türk futbol kulübü,API
Atatürk,Mustafa Kemal Atatürk,Türkiye Cumhuriyeti'nin kurucusu ve ilk cumhurbaşkanı,API
Atatürk,Atatürk Havalimanı,Türkiye'nin İstanbul ilindeki uluslararası bir havalimanı,API
Atatürk,Atatürk Olimpiyat Stadyumu,İstanbul'da bir stadyum,API
Atatürk,Atatürk Havalimanı saldırısı,28 Haziran 2016'da IŞİD tarafından gerçekleştirilen terör saldırısı,API
Atatürk,Atatürk İlkeleri,Atatürk'ün politikalarını belirleyen altı ilke,API
Türk edebiyatı,Türk edebiyatı,Türkçe yazılmış edebî eserler,API
Türk edebiyatı,Türk edebiyatında hikâye,,API
Türk edebiyatı,Türk edebiyatında şiir,Türk edebiyatındaki şiir türündeki eserler,API
Türk edebiyatı,Türk edebiyatında roman,,API
Türk edebiyatı,Türk edebiyatında LGBT temaları,,API
Yapay zeka,Yapay zekâ,İnsani zekaya sahip makine ve yazılım geliştiren bilgisayar bilimleri dalı,API
Yapay zeka,Yapay zekâ felsefesi,,API
Yapay zeka,Yapay zekâ güvenliği,,API
Yapay zeka,Yapay zekâ patlaması,,API
Yapay zeka,Yapay Zeka (film),,API
Osmanlı İmparatorluğu,Osmanlı İmparatorluğu,çok uluslu monarşi (1299–1922),API
Osmanlı İmparatorluğu,Osmanlı İmparatorluğu yükselme dönemi,Osmanlı İmparatorluğu'nun altın çağı olarak kabul edilen tarihî dönem (1453–1683),API
Osmanlı İmparatorluğu,Osmanlı İmparatorluğu tarihi,Osmanlı İmparatorluğu'nun tarihi,API
Osmanlı İmparatorluğu,Osmanlı İmparatorluğu'nda kölelik,Osmanlı ekonomisinde ve toplumunda insan köleliği,API
Osmanlı İmparatorluğu,Osmanlı İmparatorluğu'nda eğitim,Osmanlı Devleti'nde eğitim sistemi,API
Nazım Hikmet,Nâzım Hikmet,Türk şair ve yazar (1902–1963),API
Nazım Hikmet,Nazım Hikmet Ran (İzmir Tramvayı),İzmir Tramvayı istasyonu,API
Nazım Hikmet,Nazım Hikmet Kültürevi,,API
Nazım Hikmet,Nazım Hikmet Korosu,,API
Nazım Hikmet,"Nâzım Hikmet'in ""Memleketimden İnsan Manzaraları""ndan Onbir Tablo (oyun)",,API
Boğaziçi Üniversitesi,Boğaziçi Üniversitesi,İstanbul'da kurulu devlet üniversitesi,API
Boğaziçi Üniversitesi,Boğaziçi Üniversitesi Sinema Kulübü,,API
Boğaziçi Üniversitesi,Boğaziçi Üniversitesi Albert Long Hall Kültür Merkezi,Beşiktaş'ta tarihi bina,API
Boğaziçi Üniversitesi,Boğaziçi Üniversitesi/Hisarüstü (İstanbul Metrosu),İstanbul metrosu istasyonu,API
Boğaziçi Üniversitesi,Boğaziçi Üniversitesi Mezunlar Derneği,,API
Kapadokya,Kapadokya,Türkiye'de bulunan turistik bir bölge,API
Kapadokya,Kapadokya Üniversitesi,Nevşehir'de kurulu devlet üniversitesi,API
Kapadokya,Kapadokya'da çekilen filmler listesi,Vikimedya liste maddesi,API
Kapadokya,Kapadokya Rumcası,,API
Kapadokya,Kapadokya (eyalet),"Anadolu'da bir Roma İmparatorluğu eyaleti, başkenti Caesarea (Kayseri)",API
Orhan Pamuk,Orhan Pamuk,Nobel ödüllü Türk roman yazarı,API
Orhan Pamuk,Orhan Pamuk'un diğer dillerde yayımlanmış eserleri,,API
Orhan Pamuk,Osman Pamukoğlu,"Türk asker, yazar ve siyasetçi",API
Türk mutfağı,Türk mutfağı,Türk gastronomi geleneğine dahil bütün yiyecek ve içecekler,API
Türk mutfağı,Türk mutfağındaki köfteler,Türk mutfağındaki köfte çeşitleri,API
Türk mutfağı,Türk Mutfağı (yemek kitabı),,API
İzmir,İzmir,İzmir ilinin merkezi olan şehir,API
İzmir,İzmir'in ilçeleri,Vikimedya liste maddesi,API
İzmir,İzmir (il),Türkiye'nin Ege Bölgesi'nde bir il,API
İzmir,İzmir Suikastı,Atatürk'ün hedeflendiği 1926 tarihli suikast planı,API
İzmir,İzmir'de 2024 Türkiye yerel seçimleri,İzmir'de 2024'te yapılan seçim,API
