title,description,extract,views,wiki_link
Mason Greenwood,,"Mason Will John Greenwood, forvet pozisyonunda oynayan Jamaika asıllı İngiliz profesyonel futbolcu. Süper Lig ekiplerinden Fenerbahçe forması giymektedir. Uluslararası düzeyde İngiltere millî takımını yalnızca bir kez temsil etti; 2022 yılında hakkında çıkan tecavüz ve saldırı suçlamalarının ardında",20144,https://tr.wikipedia.org/wiki/Mason_Greenwood
Haluk Levent,Türk şarkıcı ve hayırsever,"Haluk Acil, bilinen adıyla Haluk Levent, Türk rock şarkıcısı ve Ahbap Derneğinin kurucusudur.",18463,https://tr.wikipedia.org/wiki/Haluk_Levent
15 Temmuz Darbe Girişimi,TSK içerisindeki bir grup askerin 65. Türkiye Hükümetini hedef almış olduğu askeri darbe teşebbüs,"15 Temmuz Darbe Girişimi veya 2016 Türkiye Askerî Darbe Teşebbüsü, darbe metninde yer aldığı isimle Yurtta Sulh Harekâtı, 15-16 Temmuz 2016 tarihleri arasında Türk Silahlı Kuvvetleri bünyesinde kendilerini Yurtta Sulh Konseyi olarak tanımlayan bir grup asker tarafından Türkiye'de düzenlenen başarısı",17109,https://tr.wikipedia.org/wiki/15_Temmuz_Darbe_Giri%C5%9Fimi
FIFA Dünya Kupası,Uluslararası erkek futbol turnuvası,"FIFA Dünya Kupası, uluslararası alanda futboldan sorumlu en üst düzey yönetim organı olan Uluslararası Futbol Federasyonları Birliği (FIFA) üyesi ülkelerin erkek millî takımlarının katılabildiği uluslararası futbol turnuvası. 1930'daki ilk turnuvadan beri, II. Dünya Savaşı sebebiyle gerçekleştirilem",8730,https://tr.wikipedia.org/wiki/FIFA_D%C3%BCnya_Kupas%C4%B1
Semih Terzi,Türk asker (1968–2016),"Semih Terzi, 15 Temmuz Darbe Girişimi'ne kalkışan Yurtta Sulh Konseyi üyesi olan Türk tuğgeneral. Darbe girişimi sırasında emrindeki askerlerle beraber Özel Kuvvetler Komutanlığına girerken Ömer Halisdemir tarafından vurularak öldürüldü.",7717,https://tr.wikipedia.org/wiki/Semih_Terzi
Leandro Trossard,Belçikalı futbolcu (d. 1994),"Leandro Trossard, Kanat orta saha, Kanat forvet pozisyonunda oynayan Belçikalı millî futbolcudur. Premier League ekiplerinden Arsenal forması giymektedir. Uluslararası düzeyde Belçika millî takımını temsil etmektedir.",7126,https://tr.wikipedia.org/wiki/Leandro_Trossard
Ömer Halisdemir,Türk asker (1974–2016),"Ömer Halisdemir, Türk asker. 15 Temmuz darbe girişimi sırasında Özel Kuvvetler Komutanlığında görevliyken komutanlığı ele geçirmeye çalışan FETÖ'cü Tuğgeneral Semih Terzi'yi göğsünden vurarak öldüren ve ardından diğer darbe yanlısı askerler tarafından vurularak öldürülen koruma astsubayıdır. Kendisi",6601,https://tr.wikipedia.org/wiki/%C3%96mer_Halisdemir
Zekai Aksakallı,Türk asker (1961 doğumlu),"Zekai Aksakallı Türk asker. Eski Özel Kuvvetler Komutanı. 15 Temmuz Darbe Girişimi sırasında koruma astsubayı Ömer Halisdemir'e verdiği emirle Özel Kuvvetler Komutanlığının darbecilerin eline geçmesini önledi. 15 Temmuz darbe girişimi sırasında Özel Kuvvetler Komutanı olan, 13 gün sonra korgeneralli",6002,https://tr.wikipedia.org/wiki/Zekai_Aksakall%C4%B1
Manifest (müzik grubu),Türk müzik grubu,"Manifest, 2025 yılında Türkiye'de kurulan altı üyeli bir müzik grubudur.",5558,https://tr.wikipedia.org/wiki/Manifest_(m%C3%BCzik_grubu)
2026 FIFA Dünya Kupası,Kuzey Amerika'da düzenlenen 23. uluslararası futbol turnuvası,"2026 FIFA Dünya Kupası, FIFA'ya bağlı millî takımların mücadele ettiği ve dört yılda bir düzenlenen FIFA Dünya Kupası'nın 23. organizasyonudur. Turnuva, 11 Haziran-19 Temmuz 2026 tarihleri arasında gerçekleştirilmektedir. Organizasyona Amerika Birleşik Devletleri'nde 11, Meksika'da 3 ve Kanada'da 2 ",5256,https://tr.wikipedia.org/wiki/2026_FIFA_D%C3%BCnya_Kupas%C4%B1
